id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	com.netflix.netty.common.metrics.InstrumentedResourceLeakDetector	InstrumentedResourceLeakDetector(java.lang.Class<?>,int)	0	2	[false, false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetector.java
2	com.netflix.netty.common.metrics.InstrumentedResourceLeakDetector	InstrumentedResourceLeakDetector(java.lang.Class<?>,int,long)	0	3	[false, false, false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetector.java
3	com.netflix.netty.common.metrics.InstrumentedResourceLeakDetector	reportTracedLeak(java.lang.String,java.lang.String)	4	2	[false, false]	false	protected	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetector.java
5	com.netflix.netty.common.metrics.InstrumentedResourceLeakDetector	reportUntracedLeak(java.lang.String)	6	1	[false]	false	protected	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetector.java
7	com.netflix.netty.common.metrics.InstrumentedResourceLeakDetector	resetReportedLeaks()	0	0	[]	false	private	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/metrics/InstrumentedResourceLeakDetector.java
8	com.netflix.netty.common.throttle.MaxInboundConnectionsHandler	MaxInboundConnectionsHandler(com.netflix.spectator.api.Registry,java.lang.String,int)	0	3	[false, false, false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/throttle/MaxInboundConnectionsHandler.java
9	com.netflix.netty.common.throttle.MaxInboundConnectionsHandler	channelActive(io.netty.channel.ChannelHandlerContext)	10	1	[false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/throttle/MaxInboundConnectionsHandler.java
11	com.netflix.netty.common.throttle.MaxInboundConnectionsHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	12	2	[false, false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/throttle/MaxInboundConnectionsHandler.java
13	com.netflix.netty.common.throttle.MaxInboundConnectionsHandler	channelInactive(io.netty.channel.ChannelHandlerContext)	14	1	[false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/throttle/MaxInboundConnectionsHandler.java
15	com.netflix.netty.common.proxyprotocol.HAProxyMessageChannelHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	12	2	[false, false]	false	public	false	file:///Users/nima/Developer/NullAwayFixer/Projects/zuul/zuul-core/src/main/java/com/netflix/netty/common/proxyprotocol/HAProxyMessageChannelHandler.java
